sample	pop
B00.SM	BEN
B11.SM	BEN
B162.SM	BEN
B17.SM	BEN
B18.SM	BEN
B19.SM	BEN
B1.SM	BEN
B21.SM	BEN
B24.SM	BEN
B25.SM	BEN
B26.SM	BEN
B28.SM	BEN
B29.SM	BEN
B2.SM	BEN
B31.SM	BEN
B3.SM	BEN
B42.SM	BEN
B45.SM	BEN
B49.SM	BEN
B50.SM	BEN
B52.SM	BEN
B54.SM	BEN
B56.SM	BEN
B59.SM	BEN
B62.SM	BEN
B64.SM	BEN
B68.SM	BEN
B74.SM	BEN
B76.SM	BEN
B78.SM	BEN
B79.SM	BEN
B7.SM	BEN
B80.SM	BEN
B81.SM	BEN
C13.SM	CPC
C14.SM	CPC
C16.SM	CPC
C17.SM	CPC
C18.SM	CPC
C19.SM	CPC
C1.SM	CPC
C20.SM	CPC
C21.SM	CPC
C22.SM	CPC
C23.SM	CPC
C24.SM	CPC
C25.SM	CPC
C26.SM	CPC
C27.SM	CPC
C28.SM	CPC
C29.SM	CPC
C2.SM	CPC
C31.SM	CPC
C32.SM	CPC
C33.SM	CPC
C34.SM	CPC
C35.SM	CPC
C38.SM	CPC
C39.SM	CPC
C3.SM	CPC
C40.SM	CPC
C41.SM	CPC
C42.SM	CPC
C43.SM	CPC
C7.SM	CPC
C8.SM	CPC
C9.SM	CPC
P13.SM	CAP
P14.SM	CAP
P15.SM	CAP
P16.SM	CAP
P17.SM	CAP
P18.SM	CAP
P19.SM	CAP
P1.SM	CAP
P21.SM	CAP
P22.SM	CAP
P23.SM	CAP
P24.SM	CAP
P25.SM	CAP
P26.SM	CAP
P27.SM	CAP
P28.SM	CAP
P30.SM	CAP
P31.SM	CAP
P33.SM	CAP
P34.SM	CAP
P35.SM	CAP
P36.SM	CAP
P37.SM	CAP
P38.SM	CAP
P40.SM	CAP
P41.SM	CAP
P42.SM	CAP
P43.SM	CAP
P44.SM	CAP
P45.SM	CAP
P4.SM	CAP
P8.SM	CAP
R12.SM	RED
R15.SM	RED
R16.SM	RED
R17.SM	RED
R18.SM	RED
R19.SM	RED
R1.SM	RED
R20.SM	RED
R22.SM	RED
R24.SM	RED
R25.SM	RED
R26.SM	RED
R27.SM	RED
R28.SM	RED
R29.SM	RED
R2.SM	RED
R30.SM	RED
R31.SM	RED
R32.SM	RED
R33.SM	RED
R34.SM	RED
R35.SM	RED
R37.SM	RED
R38.SM	RED
R39.SM	RED
R40.SM	RED
R41.SM	RED
R42.SM	RED
R43.SM	RED
R44.SM	RED
R45.SM	RED
R7.SM	RED
T10.SM	TEX
T11.SM	TEX
T12.SM	TEX
T13.SM	TEX
T15.SM	TEX
T16.SM	TEX
T17.SM	TEX
T18.SM	TEX
T19.SM	TEX
T20.SM	TEX
T21.SM	TEX
T22.SM	TEX
T23.SM	TEX
T24.SM	TEX
T25.SM	TEX
T26.SM	TEX
T2.SM	TEX
T3.SM	TEX
T4.SM	TEX
T5.SM	TEX
T6.SM	TEX
T7.SM	TEX
T8.SM	TEX
