sample	pop
Long_AZOA16.SM	AZO
Long_AZOA22.SM	AZO
Long_AZOA25.SM	AZO
Long_AZOA30.SM	AZO
Long_AZOA37.SM	AZO
Long_AZOB16.SM	AZO
Long_AZOB18.SM	AZO
Long_AZOB20.SM	AZO
Long_AZOB26.SM	AZO
Long_AZOB38.SM	AZO
Long_BM10.SM	BLA
Long_BM1.SM	BLA
Long_BM2.SM	BLA
Long_BM3.SM	BLA
Long_BM5.SM	BLA
Long_BM6.SM	BLA
Long_BM7.SM	BLA
Long_BM8.SM	BLA
Long_DELA01.SM	DEL
Long_DELA04.SM	DEL
Long_DELA07.SM	DEL
Long_DELA11.SM	DEL
Long_DELA13.SM	DEL
Long_DELB18.SM	DEL
Long_DELB22.SM	DEL
Long_DELB28.SM	DEL
Long_DELB33.SM	DEL
Long_DELB35.SM	DEL
Long_Eng13.SM	ENG
Long_Eng16.SM	ENG
Long_Eng19.SM	ENG
Long_Eng24.SM	ENG
Long_Eng26.SM	ENG
Long_Eng30.SM	ENG
Long_Eng33.SM	ENG
Long_Eng39.SM	ENG
Long_Eng4.SM	ENG
Long_Eng8.SM	ENG
Long_OV10.SM	OLI
Long_OV1.SM	OLI
Long_OV2.SM	OLI
Long_OV3.SM	OLI
Long_OV4.SM	OLI
Long_OV5.SM	OLI
Long_OV6.SM	OLI
Long_OV7.SM	OLI
Long_OV8.SM	OLI
Long_OV9.SM	OLI
Long_WT10.SM	WOO
Long_WT1.SM	WOO
Long_WT2.SM	WOO
Long_WT3.SM	WOO
Long_WT4.SM	WOO
Long_WT5.SM	WOO
Long_WT6.SM	WOO
Long_WT7.SM	WOO
Long_WT8.SM	WOO
Long_WT9.SM	WOO
